Initiating Exchange,Option Symbol,Option Name,Program List Date
BOX,FOX,"Twenty-First Century Fox, Inc.",7/1/2013
ARCA,FOXA,Twenty-First Century Fox Class A,7/1/2013
PHLX,FRO,FRONTLINE LIMITED,7/9/2010
NSDQ,FRX,"FOREST LABORATORIES, INC.",7/9/2010
AMEX,FSL,Freescale Semiconductor Ltd.,6/14/2012
NSDQ,FST,FOREST OIL CORP.,2/12/2010
CBOE,FSYS,Fuel Systems Solutions Inc,4/9/2010
ARCA,FTNT,Fortinet Inc.,2/15/2011
ARCA,FTR,Frontier Communications Corp.,6/30/2010
ARCA,FWLT,Foster Wheeler AG,4/2/2009
ARCA,GALE,Galena Biopharma Inc.,5/8/2012
NSDQ,GCI,GANNETT CO. INC,9/2/2009
ARCA,GE,GENERAL ELECTRIC,1/30/2008
CBOE,GERN,GERON CORPORATION,8/12/2010
ISE,GES,"GUESS ?,  INC",3/15/2011
AMEX,GEVO,Gevo Inc,12/18/2013
ISE,GFI,GOLD FIELDS LIMITED,4/24/2009
BOX,GFIG,"GFI Group, Inc.",8/10/2010
ISE,GG,GOLDCORP INC,3/23/2009
CBOE,GGB,GERDAU S.A. - ADR,8/12/2010
PHLX,GGP,"GENERAL GROWTH PROPERTIES, INC",7/2/2010
BOX,GILD,"GILEAD SCIENCES, INC.",4/2/2009
ARCA,GIS,GENERAL MILLS,7/14/2010
ISE,GLUU,Glu Mobile Inc,10/29/2013
ARCA,GLW,CORNING INCORPORATED,3/23/2009
C2,GM,General Motors Co.,9/29/2011
ISE,GMCR,"Green Mountain Coffee Roasters, Inc.",7/9/2010
BOX,GME,GAMESTOP CORP CL A (Holding Co),4/8/2009
PHLX,GMO,"General Moly, Inc.",12/30/2010
ISE,GNK,Genco Shipping & Trading Ltd.,4/24/2009
NSDQ,GNRC,Generac Holdings Inc,5/10/2013
C2,GNW,"Genworth Financial, Inc. (Holding Company)",9/29/2011
AMEX,GOGO,GOGO Inc.,12/3/2013
CBOE,GOL,GOL LINHAS AEREAS INTELIGENTES S. A.,5/29/2013
NSDQ,GPS,GAP INC,9/2/2009
ARCA,GRMN,GARMIN LTD.,8/17/2009
ARCA,GRPN,Groupon Inc,11/11/2011
NSDQ,GSK,GLAXOSMITHKLINE PLC,7/14/2010
AMEX,GSS,GOLDEN STAR RESOURCES LTD,7/13/2010
NSDQ,GT,GOODYEAR T & R,7/9/2010
ARCA,GTAT,"GT Advanced Technologies, Inc.",10/25/2013
AMEX,GTXI,GTx Inc,7/13/2010
BOX,HA,"Hawaiian Holdings, Inc.",8/10/2010
ARCA,HAL,HALLIBURTON CO,3/30/2009
AMEX,HALO,Halozyme Therapeutics Inc.,8/28/2013
AMEX,HBAN,HUNTINGTON BANCSHARES,6/3/2009
CBOE,HCA,"HCA Holdings, Inc.",1/19/2012
BOX,HCBK,"HUDSON CITY BANCORP, INC.",8/10/2010
ISE,HD,HOME DEPOT INC,3/23/2009
ARCA,HDY,Hyperdynamics Corp.,2/15/2011
AMEX,HERO,"Hercules Offshore, Inc.",7/14/2010
BOX,HFC,HollyFrontier Corporation,7/5/2011
PHLX,HGG,HHGREGG INCCOM,11/9/2010
ISE,HIG,HARTFORD FINANCIAL SERVICES,3/23/2009
PHLX,HIMX,"Himax Technologies, Inc.",3/6/2013
AMEX,HK,Halcon Resources Corporation,2/13/2012
NSDQ,HL,HECLA  MINING COMPANY,7/24/2009
AMEX,HLX,HELIX ENERGY SOLUTIONS GROUP INC,7/13/2010
BOX,HMA,HEALTH MANAGEMENT ASSOC,8/10/2010
PHLX,HMY,HARMONY GOLD MINING COMP. LTD.,3/30/2009
NSDQ,HOLX,"HOLOGIC, INC.",7/14/2010
ISE,HON,HONEYWELL INTL INC (NEW),4/8/2009
BOX,HOS,HORNBECK OFFSHORE SERVICES  INC,8/10/2010
