Initiating Exchange,Option Symbol,Option Name,Program List Date
PHLX,NEM,NEWMONT MINING CO,7/21/1995
ISE,NFLX,NETFLIX INC,10/25/2011
AMEX,NKE,NIKE INC. CLASS B,12/29/2009
ISE,NOC,NORTHROP GRUMMAN CORP,4/7/2011
PHLX,NOV,"National Oilwell Varco, Inc.",4/5/2011
ISE,NSC,NORFOLK SOUTHERN CORP,4/12/2011
ISE,NTES,"NetEase, Inc. American Depositary Shares",4/12/2011
C2,NUE,NUCOR CORPORATION,10/9/2013
ARCA,NVS,NOVARTIS AG,12/16/2010
ARCA,NXPI,NXP Semiconductors NV,7/3/2013
NSDQ,OCN,Ocwen Financial Corporation,10/4/2012
ARCA,OKE,"ONEOK, INC.",11/9/2004
PHLX,OPEN,"OpenTable, Inc.",12/15/2010
ISE,OXY,OCCIDENTAL PETROLEUM,4/12/2011
AMEX,PAA,"PLAINS ALL AMERICAN PIPELINE, LP",2/12/2010
NOBO,PANW,Palo Alto Networks Inc,6/26/2013
CBOE,PCAR,PACCAR INC.,4/22/2013
C2,PEP,PEPSICO,9/29/2011
CBOE,PETM,"PETsMART, Inc.",3/5/2013
C2,PG,PROCTER & GAMBLE,9/29/2011
AMEX,PKG,PACKAGING CORP OF AMERICA,5/24/2012
AMEX,PLCE,CHILDREN'S PLACE RETAIL,2/9/2012
C2,PM,"Philip Morris International, Inc.",9/29/2011
PHLX,PNC,PNC FINANCIAL CORP.,9/11/1995
ARCA,PPO,"Polypore International, Inc.",3/20/2012
PHLX,PRU,"PRUDENTIAL FINANCIAL, INC.",8/3/2010
CBOE,PSX,Phillips 66,1/22/2013
ISE,PVH,PVH Corp.,4/12/2011
BOX,PZZA,PAPA JOHN'S INTL. INC,6/18/2013
C2,QCOM,Qualcomm Inc.,9/29/2011
ISE,QCOR,Questcor Pharmaceuticals Corporation Inc,9/6/2012
NOBO,QIHU,Qihoo 360 Technology Co Ltd,7/11/2013
ARCA,R,RYDER SYSTEMS INC.,3/26/2002
CBOE,RAI,REYNOLDS AMERICAN INC.,7/15/2013
AMEX,RAX,"Rackspace Hosting, Inc.",2/22/2013
CBOE,RDSA,ROYAL DUTCH SHELL PLC CL A,3/8/2012
BOX,RGLD,"ROYAL GOLD, INC.",11/1/2011
ISE,RHT,"RED HAT, INC.",4/7/2011
PHLX,RIG,Transocean Ltd,6/25/2010
AMEX,RIO,RIO TINTO PLC ADS,10/13/2010
AMEX,RJF,RAYMOND JAMES FINANCIAL INC,12/13/2012
PHLX,RNF,Rentech Nitrogen Partners,8/15/2012
CBOE,ROC,Rockwood Holdings Inc,12/20/2013
ARCA,ROST,"ROSS STORES, INC.",8/28/2002
